instance_name,strategy,budget,seed,status,has_solution,incumbent_standardized,optimum,gap_vs_opt,wall_seconds
csched007,depth_first,60.0,2,time limit exceeded,True,356.0,350.9999999999955,0.014245014245027221,60.0
csched007,depth_first,900.0,0,integer optimal solution,True,350.9999999886727,350.9999999999955,-3.22587211770401e-11,297.92
csched007,depth_first,900.0,1,integer optimal solution,True,350.9999999991537,350.9999999999955,-2.398274045326828e-12,271.84
csched007,depth_first,900.0,2,integer optimal solution,True,350.9999999999882,350.9999999999955,-2.0891171034314323e-14,508.44
csched008,auto,10.0,0,"time limit exceeded, no integer solution",False,,173.0,,10.01
csched008,auto,10.0,1,time limit exceeded,True,181.0,173.0,0.046242774566473986,10.01
csched008,auto,10.0,2,time limit exceeded,True,180.0,173.0,0.04046242774566474,10.01
csched008,auto,300.0,0,time limit exceeded,True,173.0000000000016,173.0,9.200090913888003e-15,300.06
csched008,auto,300.0,1,time limit exceeded,True,176.0,173.0,0.017341040462427744,300.01
csched008,auto,300.0,2,time limit exceeded,True,174.0,173.0,0.005780346820809248,300.01
csched008,auto,60.0,0,time limit exceeded,True,180.00000000002265,173.0,0.04046242774579568,60.0
csched008,auto,60.0,1,time limit exceeded,True,178.0,173.0,0.028901734104046242,60.0
csched008,auto,60.0,2,time limit exceeded,True,174.0,173.0,0.005780346820809248,60.0
csched008,auto,900.0,0,time limit exceeded,True,173.0000000000016,173.0,9.200090913888003e-15,900.04
csched008,auto,900.0,1,time limit exceeded,True,174.0,173.0,0.005780346820809248,899.97
csched008,auto,900.0,2,time limit exceeded,True,173.0,173.0,0.0,900.0
csched008,best_bound,10.0,0,time limit exceeded,True,182.0,173.0,0.05202312138728324,10.0
csched008,best_bound,10.0,1,time limit exceeded,True,180.0,173.0,0.04046242774566474,10.01
csched008,best_bound,10.0,2,time limit exceeded,True,189.0,173.0,0.09248554913294797,10.0
csched008,best_bound,300.0,0,time limit exceeded,True,173.0,173.0,0.0,300.06
csched008,best_bound,300.0,1,integer optimal solution,True,173.0,173.0,0.0,266.15
csched008,best_bound,300.0,2,time limit exceeded,True,173.0,173.0,0.0,300.01
csched008,best_bound,60.0,0,time limit exceeded,True,179.0,173.0,0.03468208092485549,60.0
csched008,best_bound,60.0,1,time limit exceeded,True,176.0,173.0,0.017341040462427744,60.01
csched008,best_bound,60.0,2,time limit exceeded,True,186.0,173.0,0.07514450867052024,60.0
csched008,best_bound,900.0,0,integer optimal solution,True,173.0,173.0,0.0,632.83
csched008,best_bound,900.0,1,integer optimal solution,True,173.0,173.0,0.0,268.18
csched008,best_bound,900.0,2,time limit exceeded,True,173.0,173.0,0.0,899.97
csched008,best_estimate,10.0,0,time limit exceeded,True,181.0,173.0,0.046242774566473986,10.0
csched008,best_estimate,10.0,1,time limit exceeded,True,179.0,173.0,0.03468208092485549,10.0
csched008,best_estimate,10.0,2,time limit exceeded,True,176.0,173.0,0.017341040462427744,10.01
csched008,best_estimate,300.0,0,time limit exceeded,True,173.0,173.0,0.0,300.01
csched008,best_estimate,300.0,1,integer optimal solution,True,173.0,173.0,0.0,229.13
csched008,best_estimate,300.0,2,time limit exceeded,True,174.0,173.0,0.005780346820809248,300.03
