instance,policy,budget,seed,resolved_policy,resolution_reason,source_run_id,status,incumbent,ttff,elapsed,gap_vs_opt
atlanta-ip,instance_aware_portfolio,60,2,boltzmann_adaptive,frac_count=2069<5000,p45_atlanta-ip_boltzmann_adaptive_b60_s2_1787998669,time_limit,,,60.01759929198306,
atlanta-ip,multi_feature_portfolio,60,2,boltzmann_adaptive,votes=1/4,p45_atlanta-ip_boltzmann_adaptive_b60_s2_1787998669,time_limit,,,60.01759929198306,
atlanta-ip,budgeted_portfolio,300,0,best_estimate,budget>180,p45_atlanta-ip_best_estimate_b300_s0_1787998733,time_limit,,,300.0137971250224,
atlanta-ip,instance_aware_portfolio,300,0,best_estimate,budget>180,p45_atlanta-ip_best_estimate_b300_s0_1787998733,time_limit,,,300.0137971250224,
atlanta-ip,multi_feature_portfolio,300,0,best_estimate,budget>180,p45_atlanta-ip_best_estimate_b300_s0_1787998733,time_limit,,,300.0137971250224,
atlanta-ip,budgeted_portfolio,300,1,best_estimate,budget>180,p45_atlanta-ip_best_estimate_b300_s1_1787999323,time_limit,,,300.0050019590417,
atlanta-ip,instance_aware_portfolio,300,1,best_estimate,budget>180,p45_atlanta-ip_best_estimate_b300_s1_1787999323,time_limit,,,300.0050019590417,
atlanta-ip,multi_feature_portfolio,300,1,best_estimate,budget>180,p45_atlanta-ip_best_estimate_b300_s1_1787999323,time_limit,,,300.0050019590417,
atlanta-ip,budgeted_portfolio,300,2,best_estimate,budget>180,p45_atlanta-ip_best_estimate_b300_s2_1787999627,time_limit,,,300.0053179170354,
atlanta-ip,instance_aware_portfolio,300,2,best_estimate,budget>180,p45_atlanta-ip_best_estimate_b300_s2_1787999627,time_limit,,,300.0053179170354,
atlanta-ip,multi_feature_portfolio,300,2,best_estimate,budget>180,p45_atlanta-ip_best_estimate_b300_s2_1787999627,time_limit,,,300.0053179170354,
atlanta-ip,budgeted_portfolio,900,0,best_estimate,budget>180,p45_atlanta-ip_best_estimate_b900_s0_1787999933,time_limit,,,900.0049875829718,
atlanta-ip,instance_aware_portfolio,900,0,best_estimate,budget>180,p45_atlanta-ip_best_estimate_b900_s0_1787999933,time_limit,,,900.0049875829718,
atlanta-ip,multi_feature_portfolio,900,0,best_estimate,budget>180,p45_atlanta-ip_best_estimate_b900_s0_1787999933,time_limit,,,900.0049875829718,
