instance,policy,budget,seed,status,status_family,incumbent,optimum,gap_vs_opt,final_gap,nodes,ttff,elapsed,root_fractional_count,root_fractional_ratio,root_integer_variable_count,root_solve_seconds,root_integrality_gap_l1,root_binary_near_integral_ratio,root_binary_midpoint_ratio
academictimetablesmall,greedy_score,900,1,node_limit,node_limit,,0.0,,,401,,94.47545045800507,5250,0.1814976146027795,28926,7.018276999995578,0.014538896733832463,0.9605199474521192,0.026550508193320888
academictimetablesmall,greedy_score,900,2,node_limit,node_limit,,0.0,,,401,,95.44358970900066,5258,0.18177418239645993,28926,6.99403825000627,0.014922302349535189,0.9589988245868769,0.027172785729101846
academictimetablesmall,hybrid_best_bound_depth,10,0,time_limit,time_limit,,0.0,,,15,,10.057249957986642,4991,0.1725437322823757,28926,7.0126491250121035,0.014855599880935308,0.9613150798589504,0.027172785729101846
academictimetablesmall,hybrid_best_bound_depth,10,1,time_limit,time_limit,,0.0,,,13,,10.002013958001044,5250,0.1814976146027795,28926,7.0218803330208175,0.014538896733832463,0.9605199474521192,0.026550508193320888
academictimetablesmall,hybrid_best_bound_depth,10,2,time_limit,time_limit,,0.0,,,15,,10.003795625001658,5258,0.18177418239645993,28926,6.988784541958012,0.014922302349535189,0.9589988245868769,0.027172785729101846
academictimetablesmall,hybrid_best_bound_depth,300,0,node_limit,node_limit,,0.0,,,401,,90.05002095899545,4991,0.1725437322823757,28926,7.01687008299632,0.014855599880935308,0.9613150798589504,0.027172785729101846
academictimetablesmall,hybrid_best_bound_depth,300,1,node_limit,node_limit,,0.0,,,401,,97.50230733299395,5250,0.1814976146027795,28926,7.0328399580321275,0.014538896733832463,0.9605199474521192,0.026550508193320888
academictimetablesmall,hybrid_best_bound_depth,300,2,node_limit,node_limit,,0.0,,,401,,84.93987679196289,5258,0.18177418239645993,28926,6.995702417043503,0.014922302349535189,0.9589988245868769,0.027172785729101846
academictimetablesmall,hybrid_best_bound_depth,60,0,time_limit,time_limit,,0.0,,,261,,60.05396108399145,4991,0.1725437322823757,28926,6.984838083037175,0.014855599880935308,0.9613150798589504,0.027172785729101846
academictimetablesmall,hybrid_best_bound_depth,60,1,time_limit,time_limit,,0.0,,,215,,60.00267837499268,5250,0.1814976146027795,28926,7.013814041973092,0.014538896733832463,0.9605199474521192,0.026550508193320888
academictimetablesmall,hybrid_best_bound_depth,60,2,time_limit,time_limit,,0.0,,,261,,60.06030070898123,5258,0.18177418239645993,28926,7.0104813749785535,0.014922302349535189,0.9589988245868769,0.027172785729101846
academictimetablesmall,hybrid_best_bound_depth,900,0,node_limit,node_limit,,0.0,,,401,,90.07342562498525,4991,0.1725437322823757,28926,6.997428082977422,0.014855599880935308,0.9613150798589504,0.027172785729101846
academictimetablesmall,hybrid_best_bound_depth,900,1,node_limit,node_limit,,0.0,,,401,,97.85725945897866,5250,0.1814976146027795,28926,6.992597916978411,0.014538896733832463,0.9605199474521192,0.026550508193320888
academictimetablesmall,hybrid_best_bound_depth,900,2,node_limit,node_limit,,0.0,,,401,,84.82676858303603,5258,0.18177418239645993,28926,7.005046916019637,0.014922302349535189,0.9589988245868769,0.027172785729101846
academictimetablesmall,learned_portfolio,10,0,time_limit,time_limit,,0.0,,,43,,10.05314970901236,4991,0.1725437322823757,28926,0.1895149169722572,0.014855599880935308,0.9613150798589504,0.027172785729101846
academictimetablesmall,learned_portfolio,10,1,time_limit,time_limit,,0.0,,,41,,10.002693957998417,5250,0.1814976146027795,28926,0.19908541697077453,0.014538896733832463,0.9605199474521192,0.026550508193320888
academictimetablesmall,learned_portfolio,10,2,time_limit,time_limit,,0.0,,,47,,10.002446459024213,5258,0.18177418239645993,28926,0.17036391701549292,0.014922302349535189,0.9589988245868769,0.027172785729101846
academictimetablesmall,learned_portfolio,300,0,node_limit,node_limit,,0.0,,,401,,92.23508070898242,4991,0.1725437322823757,28926,0.17790725000668317,0.014855599880935308,0.9613150798589504,0.027172785729101846
academictimetablesmall,learned_portfolio,300,1,node_limit,node_limit,,0.0,,,401,,92.73597129096743,5250,0.1814976146027795,28926,0.1940624580020085,0.014538896733832463,0.9605199474521192,0.026550508193320888
academictimetablesmall,learned_portfolio,300,2,node_limit,node_limit,,0.0,,,401,,90.9109787089983,5258,0.18177418239645993,28926,0.1733691249974072,0.014922302349535189,0.9589988245868769,0.027172785729101846
